City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Georgetown,MY,5.41,100.34,80.6,94,20,4.7,few clouds,0.0,0.0
1,Fairbanks,US,64.84,-147.72,54.0,93,90,13.87,light rain,0.38,0.0
2,Kaitangata,NZ,-46.28,169.85,34.11,88,1,3.83,clear sky,0.0,0.0
3,Nikolskoye,RU,59.7,30.79,62.6,51,0,8.95,clear sky,0.0,0.0
4,Rikitea,PF,-23.12,-134.97,70.99,69,92,16.73,overcast clouds,0.0,0.0
5,Manzhouli,CN,49.6,117.43,56.12,62,100,4.23,overcast clouds,0.0,0.0
6,Albany,US,42.6,-73.97,93.0,39,62,3.58,light rain,0.3,0.0
7,Avarua,CK,-21.21,-159.78,73.4,64,100,10.29,overcast clouds,0.0,0.0
8,Provideniya,RU,64.38,-173.3,57.2,58,0,6.71,clear sky,0.0,0.0
9,Castro,BR,-24.79,-50.01,66.78,68,0,5.35,clear sky,0.0,0.0
10,Oussouye,SN,12.48,-16.55,86.0,79,20,6.93,few clouds,0.0,0.0
11,Tazovskiy,RU,67.47,78.7,46.36,92,90,16.75,overcast clouds,0.0,0.0
12,Atuona,PF,-9.8,-139.03,80.29,61,0,8.5,clear sky,0.0,0.0
13,Constanza,DE,47.66,9.18,66.99,68,7,1.54,clear sky,0.0,0.0
14,Jalu,LY,29.03,21.55,78.89,42,0,16.93,clear sky,0.0,0.0
15,Kurchum,KZ,48.57,83.65,47.82,60,0,5.82,clear sky,0.0,0.0
16,Jiayuguan,CN,39.82,98.3,59.07,61,6,3.0,clear sky,0.0,0.0
17,Pasighat,IN,28.07,95.33,76.96,84,70,2.19,light rain,0.39,0.0
18,Port Elizabeth,ZA,-33.92,25.57,59.0,82,0,11.41,clear sky,0.0,0.0
19,Bethel,US,41.37,-73.41,89.01,48,1,5.82,clear sky,0.0,0.0
20,Faanui,PF,-16.48,-151.75,78.28,81,97,21.81,overcast clouds,0.0,0.0
21,Dongsheng,CN,39.82,109.98,65.95,53,100,23.73,overcast clouds,0.0,0.0
22,Traverse City,US,44.76,-85.62,75.2,64,75,8.05,broken clouds,0.0,0.0
23,Ushuaia,AR,-54.8,-68.3,39.2,88,40,4.7,scattered clouds,0.0,0.0
24,Tapes,BR,-30.67,-51.4,71.87,76,50,10.02,scattered clouds,0.0,0.0
25,Kodiak,US,57.79,-152.41,51.8,87,90,12.75,overcast clouds,0.0,0.0
26,Chuy,UY,-33.7,-53.46,60.46,92,62,3.44,broken clouds,0.0,0.0
27,Vaini,TO,-21.2,-175.2,75.2,100,75,4.7,broken clouds,0.0,0.0
28,Cape Town,ZA,-33.93,18.42,60.01,93,75,8.05,broken clouds,0.0,0.0
29,Pechenga,RU,69.53,31.17,55.4,47,88,3.36,overcast clouds,0.0,0.0
30,Puerto Ayora,EC,-0.74,-90.35,77.0,69,40,24.16,scattered clouds,0.0,0.0
31,Dikson,RU,73.51,80.55,43.43,73,29,12.24,scattered clouds,0.0,0.0
32,Vostok,RU,46.49,135.88,46.2,100,100,3.76,light rain,0.19,0.0
33,Hithadhoo,MV,-0.6,73.08,83.73,68,10,4.65,clear sky,0.0,0.0
