City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Rikitea,PF,70.99,overcast clouds,-23.12,-134.97,Pension Maro'i
7,Avarua,CK,73.4,overcast clouds,-21.21,-159.78,Paradise Inn
9,Castro,BR,66.78,clear sky,-24.79,-50.01,CHACARA BAILLY
13,Constanza,DE,66.99,clear sky,47.66,9.18,Hotel Gästehaus Centro
14,Jalu,LY,78.89,clear sky,29.03,21.55,Jalu Hotel
20,Faanui,PF,78.28,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
21,Dongsheng,CN,65.95,overcast clouds,39.82,109.98,Crowne Plaza Ordos
22,Traverse City,US,75.2,broken clouds,44.76,-85.62,Bayshore Resort
24,Tapes,BR,71.87,scattered clouds,-30.67,-51.4,Cabanas Camping Union
27,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
30,Puerto Ayora,EC,77.0,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
34,Ribeira Grande,PT,68.0,scattered clouds,38.52,-28.7,Quinta da Meia Eira
39,Bambous Virieux,MU,72.0,scattered clouds,-20.34,57.76,Casa Tia Villa
50,Medina Del Campo,ES,78.01,clear sky,41.31,-4.91,Hotel Villa de Ferias
63,Hobyo,SO,79.95,broken clouds,5.35,48.53,Osmani Hotel
68,Santa Fe,AR,70.0,overcast clouds,-31.63,-60.7,Conquistador Hotel
70,Yellowknife,CA,78.01,few clouds,62.46,-114.35,The Explorer Hotel
76,Kilindoni,TZ,79.5,broken clouds,-7.91,39.67,Bustani B&B
81,Marawi,PH,75.99,clear sky,8.0,124.29,Derogongan Residence
82,Lima,PE,66.2,broken clouds,-12.04,-77.03,Gran Hotel Bolivar Lima
85,Atambua,ID,70.0,broken clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
88,Saint-Philippe,RE,66.2,few clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
94,Yagodnoye,RU,68.02,clear sky,62.55,149.67,Guest House Yagodnoe
96,Lodingen,NO,68.0,clear sky,68.41,16.0,Brygga Hotell & Restaurant
100,Koumac,NC,68.86,broken clouds,-20.57,164.28,Le Monitel
102,Port Said,EG,77.61,clear sky,31.26,32.28,Aracan Hotel
110,Kalemie,CD,70.38,broken clouds,-5.95,29.19,Mahobilali
114,Ponta Do Sol,PT,71.6,few clouds,32.67,-17.1,Hotel do Campo
115,Roebourne,AU,65.93,clear sky,-20.78,117.13,Harding River Caravan Park
