City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Moose Factory,CA,2020-06-19 02:26:01,51.26,-80.61,68.0,72,1,4.7
1,Nikolskoye,RU,2020-06-19 02:26:01,59.7,30.79,63.0,88,0,2.82
2,Port Alfred,ZA,2020-06-19 02:25:14,-33.59,26.89,57.99,67,0,9.35
3,Rikitea,PF,2020-06-19 02:26:01,-23.12,-134.97,73.62,91,100,16.37
4,Maindargi,IN,2020-06-19 02:26:01,17.47,76.3,76.53,82,100,13.02
5,Souillac,MU,2020-06-19 02:23:27,-20.52,57.52,71.6,64,75,13.87
6,Port Elizabeth,ZA,2020-06-19 02:22:35,-33.92,25.57,48.2,76,0,4.7
7,Yellowknife,CA,2020-06-19 02:23:20,62.46,-114.35,68.0,34,20,12.75
8,Busselton,AU,2020-06-19 02:24:50,-33.65,115.33,57.0,86,80,5.12
9,Ribeira Grande,PT,2020-06-19 02:24:51,38.52,-28.7,64.35,90,43,8.95
10,Saint George,US,2020-06-19 02:22:26,37.1,-113.58,90.0,10,1,8.05
11,Tual,ID,2020-06-19 02:26:03,-5.67,132.75,81.39,82,8,20.0
12,Kapaa,US,2020-06-19 02:26:03,22.08,-159.32,82.4,65,75,16.11
13,Anadyr,RU,2020-06-19 02:26:03,64.75,177.48,69.8,30,100,8.95
14,Fortuna,US,2020-06-19 02:26:04,40.6,-124.16,63.0,82,1,9.17
15,Acapulco,MX,2020-06-19 02:25:05,16.86,-99.89,84.2,79,20,4.7
16,Havelock,US,2020-06-19 02:22:33,34.88,-76.9,75.99,73,75,4.7
17,Flin Flon,CA,2020-06-19 02:26:05,54.77,-101.86,38.53,96,100,8.79
18,Ushuaia,AR,2020-06-19 02:26:05,-54.8,-68.3,33.8,74,41,2.24
19,Kavieng,PG,2020-06-19 02:26:05,-2.57,150.8,85.46,64,2,1.57
20,Punta Arenas,CL,2020-06-19 02:24:50,-53.15,-70.92,37.4,100,100,8.05
21,Tiksi,RU,2020-06-19 02:26:06,71.69,128.87,55.83,66,100,2.64
22,Cabo San Lucas,MX,2020-06-19 02:22:13,22.89,-109.91,87.8,19,20,13.87
23,Comodoro Rivadavia,AR,2020-06-19 02:22:15,-45.87,-67.5,51.8,53,53,8.05
24,Tomatlan,MX,2020-06-19 02:26:07,19.93,-105.25,78.55,64,0,3.4
25,Whitley Bay,GB,2020-06-19 02:26:08,55.04,-1.45,54.0,93,100,4.7
26,Avarua,CK,2020-06-19 02:26:08,-21.21,-159.78,75.2,60,87,11.41
27,Buala,SB,2020-06-19 02:25:03,-8.14,159.59,86.16,68,39,4.27
28,Waterloo,CA,2020-06-19 02:26:08,43.47,-80.52,69.01,60,1,4.7
29,Hilo,US,2020-06-19 02:25:54,19.73,-155.09,82.4,58,1,9.17
30,Kaitangata,NZ,2020-06-19 02:26:09,-46.28,169.85,50.0,65,11,15.01
31,Vaini,TO,2020-06-19 02:26:09,-21.2,-175.2,73.4,88,75,10.29
32,El Bagre,CO,2020-06-19 02:26:09,7.59,-74.81,76.75,95,100,1.23
33,Inverness,GB,2020-06-19 02:26:10,57.48,-4.22,55.0,100,20,5.73
34,Chokurdakh,RU,2020-06-19 02:25:19,70.63,147.92,89.15,20,49,4.76
35,Yaviza,PA,2020-06-19 02:26:10,8.15,-77.69,75.85,94,18,0.98
36,Maceio,BR,2020-06-19 02:24:10,-9.67,-35.74,73.4,88,40,3.36
37,Urdoma,RU,2020-06-19 02:26:11,61.75,48.54,55.11,64,54,6.78
38,Gat,IL,2020-06-19 02:26:11,31.61,34.76,69.01,82,38,6.49
39,Luderitz,NA,2020-06-19 02:26:11,-26.65,15.16,69.8,26,0,3.36
40,Upernavik,GL,2020-06-19 02:26:11,72.79,-56.15,35.4,85,0,10.58
41,Samarai,PG,2020-06-19 02:26:11,-10.62,150.67,79.56,83,28,15.9
42,Kodiak,US,2020-06-19 02:26:12,57.79,-152.41,51.8,76,75,13.87
43,Valdez,EC,2020-06-19 02:26:12,1.25,-78.98,78.1,86,100,9.42
44,Touros,BR,2020-06-19 02:24:01,-5.2,-35.46,71.6,100,75,2.24
45,Tymovskoye,RU,2020-06-19 02:26:12,50.85,142.66,55.72,74,100,3.27
46,Faanui,PF,2020-06-19 02:26:13,-16.48,-151.75,80.53,74,12,1.25
47,Cape Town,ZA,2020-06-19 02:23:06,-33.93,18.42,61.0,51,0,8.05
48,Kruisfontein,ZA,2020-06-19 02:26:13,-34.0,24.73,54.7,44,0,7.07
49,Baykit,RU,2020-06-19 02:25:36,61.67,96.37,70.18,35,96,9.37
50,Thompson,CA,2020-06-19 02:26:13,55.74,-97.86,39.2,100,90,10.29
51,Puerto Ayora,EC,2020-06-19 02:26:14,-0.74,-90.35,71.01,88,88,11.14
52,Sheffield,GB,2020-06-19 02:24:23,53.38,-1.47,53.01,99,29,3.04
53,Salzwedel,DE,2020-06-19 02:26:14,52.85,11.15,63.0,78,100,1.01
54,Redlands,US,2020-06-19 02:22:20,34.06,-117.18,77.0,44,40,11.41
55,Kushiro,JP,2020-06-19 02:26:15,42.98,144.37,60.8,87,75,4.7
56,Rojhan,PK,2020-06-19 02:26:15,28.69,69.95,94.91,30,0,17.09
57,Chuy,UY,2020-06-19 02:26:15,-33.7,-53.46,55.13,88,80,7.31
58,Acarau,BR,2020-06-19 02:25:26,-2.89,-40.12,78.01,82,0,12.88
59,Mar Del Plata,AR,2020-06-19 02:24:16,-38.0,-57.56,50.0,93,0,6.93
60,Mataura,NZ,2020-06-19 02:26:16,-46.19,168.86,46.62,68,0,5.28
61,Cap-Aux-Meules,CA,2020-06-19 02:26:16,47.38,-61.86,71.6,56,20,24.16
62,La Palma,US,2020-06-19 02:26:16,33.85,-118.05,72.0,53,1,8.05
63,Hobart,AU,2020-06-19 02:26:17,-42.88,147.33,51.8,71,75,4.7
64,Aquiraz,BR,2020-06-19 02:25:17,-3.9,-38.39,78.8,83,40,5.82
65,Conceicao Do Araguaia,BR,2020-06-19 02:26:17,-8.26,-49.26,75.2,64,57,3.36
66,Zhanaozen,KZ,2020-06-19 02:26:17,43.3,52.8,78.89,21,53,10.6
67,Albany,US,2020-06-19 02:23:35,42.6,-73.97,75.99,85,61,4.05
68,Bambous Virieux,MU,2020-06-19 02:26:18,-20.34,57.76,71.6,64,75,13.87
69,Kita,ML,2020-06-19 02:26:18,13.03,-9.49,80.37,67,100,6.78
70,Castro,BR,2020-06-19 02:21:58,-24.79,-50.01,57.6,95,65,4.88
71,Ulladulla,AU,2020-06-19 02:26:18,-35.35,150.47,64.4,48,46,3.36
72,New Waterford,US,2020-06-19 02:26:19,40.85,-80.61,69.01,67,97,3.11
73,Tasiilaq,GL,2020-06-19 02:26:19,65.61,-37.64,41.0,86,100,33.33
74,Kununurra,AU,2020-06-19 02:26:19,-15.77,128.73,84.2,34,0,13.87
75,Aleksandrov Gay,RU,2020-06-19 02:26:19,50.15,48.57,64.35,68,3,17.67
76,Zhezkazgan,KZ,2020-06-19 02:26:19,47.8,67.71,60.8,63,75,13.42
77,Saint-Pierre,RE,2020-06-19 02:26:20,-21.34,55.48,69.8,64,59,20.8
78,Havoysund,NO,2020-06-19 02:26:20,71.0,24.66,41.0,93,75,25.28
79,Khatanga,RU,2020-06-19 02:24:05,71.97,102.5,55.36,54,62,13.8
80,High Level,CA,2020-06-19 02:26:20,58.52,-117.14,75.2,47,20,10.29
81,Bredasdorp,ZA,2020-06-19 02:26:20,-34.53,20.04,53.6,62,0,6.46
82,Bluff,NZ,2020-06-19 02:26:21,-46.6,168.33,46.89,68,0,7.81
83,Kota Bahru,MY,2020-06-19 02:26:21,6.13,102.24,82.4,83,20,4.7
84,Riohacha,CO,2020-06-19 02:22:18,11.54,-72.91,82.22,73,24,14.41
85,Sinnamary,GF,2020-06-19 02:26:21,5.38,-52.95,77.54,85,100,5.86
86,Saint-Augustin,CA,2020-06-19 02:26:21,51.23,-58.65,56.75,91,100,6.15
87,Mahebourg,MU,2020-06-19 02:26:21,-20.41,57.7,71.6,64,75,13.87
88,Angoche,MZ,2020-06-19 02:26:22,-16.23,39.91,68.13,93,9,11.92
89,Grindavik,IS,2020-06-19 02:25:03,63.84,-22.43,48.2,93,75,16.11
90,Pointe-Noire,CG,2020-06-19 02:26:22,-4.78,11.86,73.4,100,75,1.12
91,Lata,PT,2020-06-19 02:26:22,40.16,-8.33,59.0,89,9,2.3
92,Axim,GH,2020-06-19 02:26:23,4.87,-2.24,77.22,84,96,12.24
93,Waldoboro,US,2020-06-19 02:26:23,44.1,-69.38,66.99,93,1,8.05
94,Alamosa,US,2020-06-19 02:26:23,37.47,-105.87,68.0,28,1,19.46
95,Atuona,PF,2020-06-19 02:26:23,-9.8,-139.03,80.29,76,4,13.02
96,Pangoa,PE,2020-06-19 02:26:24,-12.12,-73.0,69.78,88,77,2.19
97,Roebourne,AU,2020-06-19 02:26:24,-20.78,117.13,80.29,38,0,13.44
98,Vila Franca Do Campo,PT,2020-06-19 02:25:15,37.72,-25.43,64.4,72,75,1.12
99,East London,ZA,2020-06-19 02:26:25,-33.02,27.91,60.51,62,0,10.96
100,Carnarvon,AU,2020-06-19 02:26:25,-24.87,113.63,66.2,59,0,11.41
101,Berlevag,NO,2020-06-19 02:26:25,70.86,29.09,43.66,80,88,25.7
102,Hermanus,ZA,2020-06-19 02:26:25,-34.42,19.23,51.01,76,0,1.01
103,Kaliua,TZ,2020-06-19 02:26:25,-5.06,31.79,65.98,56,70,5.66
104,Juan Diaz,PA,2020-06-19 02:26:26,8.47,-80.28,80.01,99,100,7.85
105,Codrington,AU,2020-06-19 02:22:58,-38.27,141.97,59.5,60,44,20.2
106,Mahenge,TZ,2020-06-19 02:26:26,-8.68,36.72,61.25,77,82,1.52
107,Cap Malheureux,MU,2020-06-19 02:26:26,-19.98,57.61,70.0,71,83,7.0
108,Northam,GB,2020-06-19 02:26:27,51.03,-4.22,55.0,100,100,10.0
109,Saskylakh,RU,2020-06-19 02:26:27,71.92,114.08,77.95,31,79,12.1
110,Tuktoyaktuk,CA,2020-06-19 02:25:01,69.45,-133.04,44.6,87,20,10.29
111,Igrim,RU,2020-06-19 02:26:27,63.19,64.42,45.79,57,69,4.09
112,Bathsheba,BB,2020-06-19 02:26:27,13.22,-59.52,82.4,78,40,19.46
113,Aykhal,RU,2020-06-19 02:26:28,66.0,111.5,62.6,63,75,8.95
114,Iqaluit,CA,2020-06-19 02:25:01,63.75,-68.51,37.4,69,75,10.29
115,Buchanan,LR,2020-06-19 02:26:28,5.88,-10.05,75.2,94,75,7.02
116,Ambilobe,MG,2020-06-19 02:26:28,-13.2,49.05,72.5,65,100,2.3
117,Marquette,US,2020-06-19 02:23:59,46.53,-87.63,73.99,57,0,10.63
118,Bethel,US,2020-06-19 02:26:28,41.37,-73.41,70.0,88,20,3.36
119,Dikson,RU,2020-06-19 02:26:29,73.51,80.55,32.86,99,100,14.32
120,Shache,CN,2020-06-19 02:26:29,38.42,77.24,76.87,20,0,2.62
121,Pamyat Parizhskoy Kommuny,RU,2020-06-19 02:26:29,56.1,44.5,61.0,93,0,4.12
122,Thinadhoo,MV,2020-06-19 02:26:29,0.53,72.93,84.29,76,92,8.01
123,Port Blair,IN,2020-06-19 02:26:30,11.67,92.75,84.42,79,99,12.86
124,Komsomolskiy,UZ,2020-06-19 02:26:30,40.43,71.72,71.6,30,0,2.24
125,Lazaro Cardenas,MX,2020-06-19 02:26:30,17.96,-102.2,80.02,75,5,7.45
126,Lysva,RU,2020-06-19 02:26:30,58.11,57.81,47.57,58,0,2.86
127,Arraial Do Cabo,BR,2020-06-19 02:26:30,-22.97,-42.03,69.8,83,81,10.29
128,Beyneu,KZ,2020-06-19 02:26:31,45.32,55.2,81.07,23,0,8.52
129,Ilulissat,GL,2020-06-19 02:26:31,69.22,-51.1,35.6,93,36,5.82
130,Chara,RU,2020-06-19 02:26:31,56.91,118.26,52.56,79,100,3.62
131,Lubumbashi,CD,2020-06-19 02:26:32,-11.66,27.48,46.9,90,0,4.14
132,Port Hedland,AU,2020-06-19 02:26:32,-20.32,118.57,80.6,44,0,9.17
133,Asau,RO,2020-06-19 02:26:32,46.43,26.4,61.0,95,77,3.71
134,Apache Junction,US,2020-06-19 02:24:13,33.42,-111.55,99.0,6,5,9.17
135,Manono,CD,2020-06-19 02:26:32,-7.3,27.42,64.17,48,5,2.8
136,Korla,CN,2020-06-19 02:26:32,41.76,86.15,80.28,22,90,16.08
137,The Pas,CA,2020-06-19 02:22:50,53.83,-101.25,39.2,93,90,10.29
